4,Airport ID,Name,City,Country,ICAO,Latitude,Longitude,Altitude,Timezone,DST,TZ,Type,Source
ISE,5801,Süleyman Demirel International Airport,Isparta,Turkey,LTFC,37.8554000854,30.368400573699997,2835,3.0,E,Europe/Istanbul,airport,OurAirports
EDO,5802,Balıkesir Körfez Airport,Balikesir Korfez,Turkey,LTFD,39.554599761999995,27.013799667399997,50,3.0,E,Europe/Istanbul,airport,OurAirports
GDT,5807,JAGS McCartney International Airport,Cockburn Town,Turks and Caicos Islands,MBGT,21.444499969482425,-71.14230346679688,13,-4.0,U,America/Grand_Turk,airport,OurAirports
SLX,5809,Salt Cay Airport,Salt Cay,Turks and Caicos Islands,MBSY,21.3330001831,-71.1999969482,3,-4.0,U,America/Grand_Turk,airport,OurAirports
AZS,5810,Samaná El Catey International Airport,Samana,Dominican Republic,MDCY,19.267000198399998,-69.7419967651,30,-4.0,U,America/Santo_Domingo,airport,OurAirports
JBQ,5811,La Isabela International Airport,La Isabela,Dominican Republic,MDJB,18.57250022888184,-69.98560333251953,98,-4.0,U,America/Santo_Domingo,airport,OurAirports
PEU,5832,Puerto Lempira Airport,Puerto Lempira,Honduras,MHPL,15.2622,-83.78119699999999,33,-6.0,U,America/Tegucigalpa,airport,OurAirports
JAL,5837,El Lencero Airport,Jalapa,Mexico,MMJA,19.4750995636,-96.79750061040001,3127,-6.0,S,America/Mexico_City,airport,OurAirports
JQE,5840,Jaqué Airport,Jaqué,Panama,MPJE,7.51777982711792,-78.1572036743164,29,-5.0,U,America/Panama,airport,OurAirports
TTQ,5842,Aerotortuguero Airport,Roxana,Costa Rica,MRAO,10.42,-83.6095,92,-6.0,U,America/Costa_Rica,airport,OurAirports
TNO,5844,Cabo Velas Airport,Nicoya,Costa Rica,MRCV,10.355699539185,-85.852897644043,33,-6.0,U,America/Costa_Rica,airport,OurAirports
PJM,5847,Puerto Jimenez Airport,Puerto Jimenez,Costa Rica,MRPJ,8.533329963684082,-83.30000305175781,7,-6.0,U,America/Costa_Rica,airport,OurAirports
SYQ,5848,Tobias Bolanos International Airport,San Jose,Costa Rica,MRPV,9.957050323486328,-84.13980102539062,3287,-6.0,U,America/Costa_Rica,airport,OurAirports
ATC,5857,Arthur's Town Airport,Arthur's Town,Bahamas,MYCA,24.6294002533,-75.6737976074,18,-5.0,U,America/Nassau,airport,OurAirports
CRI,5859,Colonel Hill Airport,Colonel Hill,Bahamas,MYCI,22.7455997467,-74.18240356449999,5,-5.0,U,America/Nassau,airport,OurAirports
AIU,5861,Enua Airport,Atiu Island,Cook Islands,NCAT,-19.96780014038086,-158.11900329589844,36,-10.0,U,Pacific/Rarotonga,airport,OurAirports
MGS,5862,Mangaia Island Airport,Mangaia Island,Cook Islands,NCMG,-21.89598655700684,-157.9066619873047,45,-10.0,U,Pacific/Rarotonga,airport,OurAirports
MUK,5864,Mauke Airport,Mauke Island,Cook Islands,NCMK,-20.13610076904297,-157.34500122070312,26,-10.0,U,Pacific/Rarotonga,airport,OurAirports
MOI,5865,Mitiaro Island Airport,Mitiaro Island,Cook Islands,NCMR,-19.842500686645508,-157.7030029296875,25,-10.0,U,Pacific/Rarotonga,airport,OurAirports
ICI,5867,Cicia Airport,Cicia,Fiji,NFCI,-17.7432994843,-179.34199523900003,13,12.0,U,Pacific/Fiji,airport,OurAirports
KDV,5869,Vunisea Airport,Vunisea,Fiji,NFKD,-19.0580997467,178.15699768099998,6,12.0,U,Pacific/Fiji,airport,OurAirports
LKB,5873,Lakeba Island Airport,Lakeba Island,Fiji,NFNK,-18.1991996765,-178.817001343,280,12.0,U,Pacific/Fiji,airport,OurAirports
LBS,5874,Labasa Airport,Lambasa,Fiji,NFNL,-16.466699600219727,179.33999633789062,44,12.0,U,Pacific/Fiji,airport,OurAirports
TVU,5875,Matei Airport,Matei,Fiji,NFNM,-16.6905994415,-179.87699890099998,60,12.0,U,Pacific/Fiji,airport,OurAirports
RTA,5877,Rotuma Airport,Rotuma,Fiji,NFNR,-12.482500076293945,177.0709991455078,22,12.0,U,Pacific/Fiji,airport,OurAirports
SVU,5878,Savusavu Airport,Savusavu,Fiji,NFNS,-16.8027992249,179.34100341799999,17,12.0,U,Pacific/Fiji,airport,OurAirports
VBV,5883,Vanua Balavu Airport,Vanua Balavu,Fiji,NFVB,-17.268999099731445,-178.9759979248047,76,12.0,U,Pacific/Fiji,airport,OurAirports
IUE,5884,Niue International Airport,Alofi,Niue,NIUE,-19.079030990600586,-169.92559814453125,209,-11.0,U,Pacific/Niue,airport,OurAirports
FUT,5885,Pointe Vele Airport,Futuna Island,Wallis and Futuna,NLWF,-14.3114004135,-178.065994263,20,12.0,U,Pacific/Wallis,airport,OurAirports
